number_of_callers_not_null,is_init,is_static,is_override,uses_variables,call_methode,call_external_methode,cyclomatic_complexity,full_name,is_code_smell
True,False,False,False,False,False,False,6,movePastTerminators#com.android.ex.chips.RecipientEditTextView,True
True,False,False,False,False,False,False,5,setupTextRect#com.android.calendar.DayView,True
True,False,False,False,False,False,False,5,setupAllDayTextRect#com.android.calendar.DayView,True
True,False,False,False,False,False,False,5,incrementSkipCount#com.android.calendar.DayView,True
True,False,False,False,False,False,False,5,eventIntersectsSelection#com.android.calendar.EventGeometry,True
True,False,False,False,False,False,False,4,getItemLayoutResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,4,getAlternateItemLayoutResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,4,getForegroundColor#com.android.ex.editstyledtext.EditStyledText,True
True,False,False,False,False,False,False,3,nullContents#com.android.calendar.alerts.AlertServiceTest$NotificationTestManager,True
True,False,False,False,False,False,False,3,convertToLong#com.android.calendarcommon2.RecurrenceSetTest,True
True,False,False,False,False,False,False,2,updateDividerViewLabel#com.android.calendar.event.AttendeesView,True
True,False,False,False,False,False,False,1,constructDefaultEndTime#com.android.calendar.event.EditEventHelper,True
True,False,False,False,False,False,False,1,refresh#com.android.calendar.month.SimpleWeeksAdapter,True
True,False,False,False,False,False,False,1,onChange#com.android.calendar.recurrencepicker.RecurrencePickerDialog$minMaxTextWatcher,True
True,False,False,False,False,False,False,1,getLastCancelableOperation#com.android.calendar.AsyncQueryService,True
True,False,False,False,False,False,False,1,cancelOperation#com.android.calendar.AsyncQueryService,True
True,False,False,False,False,False,False,1,restartActivity#com.android.calendar.CalendarSettingsActivity,True
True,False,False,False,False,False,False,1,forceShowAddress#com.android.ex.chips.BaseRecipientAdapter,True
True,False,False,False,False,False,False,1,getMatchingRecipients#com.android.ex.chips.BaseRecipientAdapter,True
True,False,False,False,False,False,False,1,getDestinationTypeResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getPersonGroupResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getDefaultPhotoResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getPermissionGroupResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getPhotoResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getDestinationResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getPermissionRequestDismissResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getDisplayNameResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getDeleteResId#com.android.ex.chips.DropdownChipLayouter,True
True,False,False,False,False,False,False,1,getSuggestionDropdownOpenedVerbalization#com.android.ex.chips.RecipientEditTextView,True
True,False,False,False,False,False,False,1,getSpannable#com.android.ex.chips.RecipientEditTextView,True
True,False,False,False,False,False,False,1,getViewWidth#com.android.ex.chips.RecipientEditTextView,True
True,False,False,False,False,False,False,1,doNotSelected#com.android.ex.editstyledtext.EditStyledText$EditModeActions$EditModeActionBase,True
True,False,False,False,False,False,False,1,getMaxImageWidthDip#com.android.ex.editstyledtext.EditStyledText,True
